"ParmSetID","Genotype","PlntN_Em","PlntN_Mt","relTT_Sn","RootSenFac","RUEmax","RWPC1","TbaseDev","TTtoMatr","ActO2CO2","Slow2CO2"
1,"Baseline","0.015","0.00781","0.704","0.00176","3.18","0.696","9.59","1160","0.656","0.659"
1,"Adapted","0.015","0.00781","0.704","0.00176","3.18","0.696","9.59","1508","0.656","0.659"
2,"Baseline","0.0149","0.00868","0.697","0.00165","3.2","0.771","8.31","1150","0.681","0.738"
2,"Adapted","0.0149","0.00868","0.697","0.00165","3.2","0.771","8.31","1495","0.681","0.738"
3,"Baseline","0.0175","0.00866","0.697","0.00204","2.95","0.644","9.7","1060","0.606","0.772"
3,"Adapted","0.0175","0.00866","0.697","0.00204","2.95","0.644","9.7","1378","0.606","0.772"
4,"Baseline","0.0126","0.00751","0.799","0.00165","3.13","0.713","10.6","1360","0.559","0.555"
4,"Adapted","0.0126","0.00751","0.799","0.00165","3.13","0.713","10.6","1768","0.559","0.555"
5,"Baseline","0.0129","0.008","0.57","0.00174","3.58","0.58","8.16","952","0.593","0.659"
5,"Adapted","0.0129","0.008","0.57","0.00174","3.58","0.58","8.16","1237.6","0.593","0.659"
6,"Baseline","0.0133","0.00679","0.802","0.00203","3.14","0.818","11.5","967","0.71","0.647"
6,"Adapted","0.0133","0.00679","0.802","0.00203","3.14","0.818","11.5","1257.1","0.71","0.647"
7,"Baseline","0.0155","0.00772","0.686","0.00163","3.31","0.634","9.18","1380","0.754","0.582"
7,"Adapted","0.0155","0.00772","0.686","0.00163","3.31","0.634","9.18","1794","0.754","0.582"
8,"Baseline","0.0125","0.00905","0.699","0.00151","2.84","0.688","10.2","984","0.599","0.611"
8,"Adapted","0.0125","0.00905","0.699","0.00151","2.84","0.688","10.2","1279.2","0.599","0.611"
9,"Baseline","0.0135","0.00826","0.639","0.00175","3.65","0.558","8.96","1250","0.736","0.533"
9,"Adapted","0.0135","0.00826","0.639","0.00175","3.65","0.558","8.96","1625","0.736","0.533"
10,"Baseline","0.0154","0.00736","0.678","0.00179","2.63","0.771","11.1","1140","0.545","0.591"
10,"Adapted","0.0154","0.00736","0.678","0.00179","2.63","0.771","11.1","1482","0.545","0.591"
11,"Baseline","0.0151","0.00683","0.571","0.00172","2.86","0.807","8.81","961","0.682","0.546"
11,"Adapted","0.0151","0.00683","0.571","0.00172","2.86","0.807","8.81","1249.3","0.682","0.546"
12,"Baseline","0.0177","0.00744","0.837","0.00184","3.55","0.65","9.98","1240","0.543","0.553"
12,"Adapted","0.0177","0.00744","0.837","0.00184","3.55","0.65","9.98","1612","0.543","0.553"
13,"Baseline","0.0131","0.00707","0.799","0.0018","2.95","0.587","11.4","1210","0.694","0.63"
13,"Adapted","0.0131","0.00707","0.799","0.0018","2.95","0.587","11.4","1573","0.694","0.63"
14,"Baseline","0.0129","0.00794","0.795","0.00162","3.22","0.636","8.76","1310","0.562","0.629"
14,"Adapted","0.0129","0.00794","0.795","0.00162","3.22","0.636","8.76","1703","0.562","0.629"
15,"Baseline","0.0165","0.00636","0.705","0.00168","2.91","0.77","7.7","1150","0.549","0.659"
15,"Adapted","0.0165","0.00636","0.705","0.00168","2.91","0.77","7.7","1495","0.549","0.659"
16,"Baseline","0.0154","0.00742","0.572","0.00156","3.71","0.755","8.56","1110","0.686","0.66"
16,"Adapted","0.0154","0.00742","0.572","0.00156","3.71","0.755","8.56","1443","0.686","0.66"
17,"Baseline","0.0126","0.00849","0.574","0.00168","3.34","0.709","8.24","1250","0.624","0.584"
17,"Adapted","0.0126","0.00849","0.574","0.00168","3.34","0.709","8.24","1625","0.624","0.584"
18,"Baseline","0.0122","0.00787","0.613","0.00184","3.71","0.741","10","1190","0.641","0.723"
18,"Adapted","0.0122","0.00787","0.613","0.00184","3.71","0.741","10","1547","0.641","0.723"
19,"Baseline","0.015","0.00887","0.599","0.0016","3.18","0.58","10.3","1220","0.615","0.606"
19,"Adapted","0.015","0.00887","0.599","0.0016","3.18","0.58","10.3","1586","0.615","0.606"
20,"Baseline","0.0137","0.00897","0.741","0.00145","3.73","0.599","8.36","1310","0.778","0.612"
20,"Adapted","0.0137","0.00897","0.741","0.00145","3.73","0.599","8.36","1703","0.778","0.612"
21,"Baseline","0.0149","0.00636","0.717","0.00192","2.6","0.664","8.96","1350","0.644","0.704"
21,"Adapted","0.0149","0.00636","0.717","0.00192","2.6","0.664","8.96","1755","0.644","0.704"
22,"Baseline","0.0165","0.00923","0.639","0.00177","3.78","0.575","10.4","1090","0.664","0.752"
22,"Adapted","0.0165","0.00923","0.639","0.00177","3.78","0.575","10.4","1417","0.664","0.752"
23,"Baseline","0.0141","0.00934","0.602","0.0017","2.82","0.676","10.1","1230","0.758","0.674"
23,"Adapted","0.0141","0.00934","0.602","0.0017","2.82","0.676","10.1","1599","0.758","0.674"
24,"Baseline","0.0175","0.0079","0.675","0.00174","2.58","0.586","9.71","1240","0.641","0.565"
24,"Adapted","0.0175","0.0079","0.675","0.00174","2.58","0.586","9.71","1612","0.641","0.565"
25,"Baseline","0.0156","0.00781","0.726","0.00182","3.21","0.643","10.8","1160","0.672","0.743"
25,"Adapted","0.0156","0.00781","0.726","0.00182","3.21","0.643","10.8","1508","0.672","0.743"
26,"Baseline","0.0125","0.00832","0.62","0.00152","3.26","0.781","9.6","1250","0.706","0.591"
26,"Adapted","0.0125","0.00832","0.62","0.00152","3.26","0.781","9.6","1625","0.706","0.591"
27,"Baseline","0.0156","0.00744","0.788","0.00156","2.67","0.787","8.59","1050","0.783","0.601"
27,"Adapted","0.0156","0.00744","0.788","0.00156","2.67","0.787","8.59","1365","0.783","0.601"
28,"Baseline","0.0136","0.00683","0.581","0.00201","3.59","0.641","10.3","1350","0.726","0.783"
28,"Adapted","0.0136","0.00683","0.581","0.00201","3.59","0.641","10.3","1755","0.726","0.783"
29,"Baseline","0.0137","0.00781","0.832","0.00151","3.02","0.711","8.42","1020","0.706","0.652"
29,"Adapted","0.0137","0.00781","0.832","0.00151","3.02","0.711","8.42","1326","0.706","0.652"
30,"Baseline","0.0135","0.00658","0.802","0.00149","3.68","0.567","8.97","1100","0.623","0.662"
