"SimID","FertilizerN","BiomassRemoval","Genotype","ClimateScenario","ParmSetID"
1,100,45,"Baseline","SSP126",1
2,100,45,"Adapted","SSP126",1
3,100,45,"Baseline","SSP126",2
4,100,45,"Adapted","SSP126",2
5,100,45,"Baseline","SSP126",3
6,100,45,"Adapted","SSP126",3
7,100,45,"Baseline","SSP126",4
8,100,45,"Adapted","SSP126",4
9,100,45,"Baseline","SSP126",5
10,100,45,"Adapted","SSP126",5
11,100,45,"Baseline","SSP126",6
12,100,45,"Adapted","SSP126",6
13,100,45,"Baseline","SSP126",7
14,100,45,"Adapted","SSP126",7
15,100,45,"Baseline","SSP126",8
16,100,45,"Adapted","SSP126",8
17,100,45,"Baseline","SSP126",9
18,100,45,"Adapted","SSP126",9
19,100,45,"Baseline","SSP126",10
20,100,45,"Adapted","SSP126",10
21,100,45,"Baseline","SSP126",11
22,100,45,"Adapted","SSP126",11
23,100,45,"Baseline","SSP126",12
24,100,45,"Adapted","SSP126",12
25,100,45,"Baseline","SSP126",13
26,100,45,"Adapted","SSP126",13
27,100,45,"Baseline","SSP126",14
28,100,45,"Adapted","SSP126",14
29,100,45,"Baseline","SSP126",15
30,100,45,"Adapted","SSP126",15
31,100,45,"Baseline","SSP126",16
32,100,45,"Adapted","SSP126",16
33,100,45,"Baseline","SSP126",17
34,100,45,"Adapted","SSP126",17
35,100,45,"Baseline","SSP126",18
36,100,45,"Adapted","SSP126",18
37,100,45,"Baseline","SSP126",19
38,100,45,"Adapted","SSP126",19
39,100,45,"Baseline","SSP126",20
40,100,45,"Adapted","SSP126",20
41,100,45,"Baseline","SSP126",21
42,100,45,"Adapted","SSP126",21
43,100,45,"Baseline","SSP126",22
44,100,45,"Adapted","SSP126",22
45,100,45,"Baseline","SSP126",23
46,100,45,"Adapted","SSP126",23
47,100,45,"Baseline","SSP126",24
48,100,45,"Adapted","SSP126",24
49,100,45,"Baseline","SSP126",25
50,100,45,"Adapted","SSP126",25
51,100,45,"Baseline","SSP126",26
52,100,45,"Adapted","SSP126",26
53,100,45,"Baseline","SSP126",27
54,100,45,"Adapted","SSP126",27
55,100,45,"Baseline","SSP126",28
56,100,45,"Adapted","SSP126",28
57,100,45,"Baseline","SSP126",29
58,100,45,"Adapted","SSP126",29
59,100,45,"Baseline","SSP126",30
60,100,45,"Adapted","SSP126",30
61,100,45,"Baseline","SSP126",31
62,100,45,"Adapted","SSP126",31
63,100,45,"Baseline","SSP126",32
